Row #,Species,Count,Location,S/P,Date,LocID,SubID
349,Gray Kingbird,1,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
350,Scissor-tailed Flycatcher,2,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
351,Northern Rough-winged Swallow,40,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
352,Lesser Scaup,4,Estero Bay Preserve SP--Winkler Point,US-FL,11 Jan 2018,L2589166,S41816296
353,Short-tailed Hawk,1,Fakahatchee Strand Preserve SP--Big Cypress Bend Boardwalk,US-FL,08 Jan 2018,L662393,S41743711
354,Florida Scrub-Jay,1,"2524 Northwest 15th Avenue, Cape Coral, Florida, US (26.701, -82.005)",US-FL,07 Jan 2018,L6681539,S41704420
355,Burrowing Owl,3,Pelican Blvd. Baseball Fields,US-FL,07 Jan 2018,L886942,S41702365
356,Brown-headed Nuthatch,4,Pine Lake Preserve,US-FL,02 Jan 2018,L335686,S41549892
357,American Wigeon,5,Estero Bay Preserve SP--Winkler Point,US-FL,31 Dec 2017,L2589166,S41464521
358,Black-bellied Whistling-Duck,4,Wild Turkey Strand Preserve,US-FL,29 Dec 2017,L1903106,S41410966
359,Wilson's Snipe,3,Wild Turkey Strand Preserve,US-FL,29 Dec 2017,L1903106,S41410966
360,Horned Lark,15,Hammonasset Beach SP,US-CT,19 Dec 2017,L298379,S41195645
361,Snow Bunting,2,Hammonasset Beach SP,US-CT,19 Dec 2017,L298379,S41195645
362,Redhead,1,Bantam Lake--Point Folly,US-CT,18 Dec 2017,L230744,S41173882
363,Greater Scaup,1,Bantam Lake--Point Folly,US-CT,18 Dec 2017,L230744,S41173882
364,American Tree Sparrow,5,Fisher Meadows Recreation Area,US-CT,11 Dec 2017,L733301,S41026256
365,Field Sparrow,1,Fisher Meadows Recreation Area,US-CT,07 Dec 2017,L733301,S40955236
366,Common Eider,4,Harkness Memorial SP,US-CT,04 Dec 2017,L297947,S40904810
367,Purple Sandpiper,14,Harkness Memorial SP,US-CT,04 Dec 2017,L297947,S40904810
368,Iceland Gull,1,Harkness Memorial SP,US-CT,04 Dec 2017,L297947,S40904810
369,Tundra Swan,8,Durand-Eastman Park--Durand Beach,US-NY,27 Nov 2017,L448184,S40778193
370,Long-tailed Duck,11,Irondequoit Bay Outlet (Pier and Marine Park),US-NY,27 Nov 2017,L131149,S40778115
371,Ring-necked Pheasant,1,Frances Slocum SP,US-PA,25 Nov 2017,L443823,S40718067
372,Golden-crowned Kinglet,1,Frances Slocum SP,US-PA,24 Nov 2017,L443823,S40695982
373,Bufflehead,4,Frances Slocum SP,US-PA,23 Nov 2017,L443823,S40679178
374,Red-throated Loon,2,Stratford Point,US-CT,20 Nov 2017,L611064,S40631987
375,Red-breasted Merganser,2,Milford Pt. (CT Audubon),US-CT,20 Nov 2017,L109216,S40633300
376,Common Loon,1,Milford Pt. (CT Audubon),US-CT,20 Nov 2017,L109216,S40633300
377,Snowy Owl,1,Gresczyk Farms,US-CT,19 Nov 2017,L6487615,S40601919
378,Northern Pintail,1,Great Pond State Forest,US-CT,18 Nov 2017,L274772,S40578502
379,Green-winged Teal,6,Great Pond State Forest,US-CT,18 Nov 2017,L274772,S40578502
380,Snow Goose,1,Fisher Meadows Recreation Area,US-CT,17 Nov 2017,L733301,S40550347
381,Brant,1,Fisher Meadows Recreation Area,US-CT,17 Nov 2017,L733301,S40550347
382,Common Goldeneye,2,Hartford Reservoir No. 6,US-CT,15 Nov 2017,L607644,S40518725
383,Hooded Merganser,35,Hartford Reservoir No. 6,US-CT,15 Nov 2017,L607644,S40518725
384,Merlin,1,Hartford Reservoir No. 6,US-CT,15 Nov 2017,L607644,S40518725
385,Dark-eyed Junco,5,Hartford Reservoir No. 6,US-CT,15 Nov 2017,L607644,S40518725
386,Cooper's Hawk,1,Westmoor Park,US-CT,14 Nov 2017,L198655,S40508164
387,Ring-necked Duck,4,Harns Marsh,US-FL,11 Nov 2017,L830108,S40438561
388,Gray-headed Swamphen,4,Harns Marsh,US-FL,11 Nov 2017,L830108,S40438561
389,Blue-headed Vireo,1,Six Mile Cypress Slough Preserve,US-FL,09 Nov 2017,L424819,S40396799
390,Magnificent Frigatebird,12,Bowmans Beach Regional Park,US-FL,07 Nov 2017,L476488,S40366295
391,Yellow-bellied Sapsucker,1,Lakes Park  - (Area 7),US-FL,06 Nov 2017,L371129,S40347803
392,Tree Swallow,50,Wild Turkey Strand Preserve,US-FL,04 Nov 2017,L1903106,S40306833
393,Prairie Warbler,1,"Cullum's Bonita Trail, Bonita Springs, Florida, US (26.337, -81.746)",US-FL,02 Nov 2017,L6433964,S40268334
394,Black-throated Green Warbler,1,"Cullum's Bonita Trail, Bonita Springs, Florida, US (26.337, -81.746)",US-FL,02 Nov 2017,L6433964,S40268334
395,White-eyed Vireo,1,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,02 Nov 2017,L1061691,S40260972
396,Monk Parakeet,6,Pelican Blvd. Baseball Fields,US-FL,01 Nov 2017,L886942,S40248340
397,Caspian Tern,2,San Carlos Bay/Bunche Beach Preserve,US-FL,31 Oct 2017,L301036,S40243285
398,Black Skimmer,8,San Carlos Bay/Bunche Beach Preserve,US-FL,31 Oct 2017,L301036,S40243285
399,Eastern Meadowlark,1,"11201 Daniels Parkway, Fort Myers, Florida, US (26.548, -81.772)",US-FL,30 Oct 2017,L6427022,S40215546
400,American Coot,1,Lakes Regional Park,US-FL,28 Oct 2017,L305312,S40168176
401,American White Pelican,11,Lovers Key SP,US-FL,26 Oct 2017,L160668,S40131693
402,Sandwich Tern,3,Bowditch Point Park,US-FL,26 Oct 2017,L337347,S40129407
403,American Kestrel,1,Wild Turkey Strand Preserve,US-FL,25 Oct 2017,L1903106,S40113848
404,Wilson's Plover,1,San Carlos Bay/Bunche Beach Preserve,US-FL,22 Oct 2017,L301036,S40061730
405,Piping Plover,3,San Carlos Bay/Bunche Beach Preserve,US-FL,22 Oct 2017,L301036,S40061730
406,Dunlin,1,San Carlos Bay/Bunche Beach Preserve,US-FL,22 Oct 2017,L301036,S40061730
407,Pine Warbler,2,Caloosahatchee Creeks Preserve--East,US-FL,21 Oct 2017,L674344,S40043417
408,Yellow-throated Warbler,1,Caloosahatchee Creeks Preserve--East,US-FL,21 Oct 2017,L674344,S40043417
409,Blue-winged Teal,9,J. N. Ding Darling NWR--Wildlife Drive,US-FL,18 Oct 2017,L823147,S39995185
410,Snail Kite,1,Wild Turkey Strand Preserve,US-FL,16 Oct 2017,L1903106,S39958717
411,Eurasian Collared-Dove,2,I95 Florida Welcome Centre,US-FL,15 Oct 2017,L3479704,S39931211
412,Sharp-shinned Hawk,3,Lighthouse Point Park,US-CT,11 Oct 2017,L109209,S39825664
413,White-crowned Sparrow,2,Lighthouse Point Park,US-CT,11 Oct 2017,L109209,S39825664
414,White-throated Sparrow,1,Lighthouse Point Park,US-CT,11 Oct 2017,L109209,S39825664
415,Swamp Sparrow,1,Lighthouse Point Park,US-CT,11 Oct 2017,L109209,S39825664
416,Ruddy Duck,7,Fisher Meadows Recreation Area,US-CT,08 Oct 2017,L733301,S39622224
417,Yellow-rumped Warbler,1,Fisher Meadows Recreation Area,US-CT,08 Oct 2017,L733301,S39622224
418,Glossy Ibis,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,06 Oct 2017,L6319667,S39578004
419,Cattle Egret,3,Harns Marsh,US-FL,05 Oct 2017,L830108,S39564130
420,Common Yellowthroat,1,Harns Marsh,US-FL,05 Oct 2017,L830108,S39564130
421,Marbled Godwit,1,San Carlos Bay/Bunche Beach Preserve,US-FL,03 Oct 2017,L301036,S39536546
422,Loggerhead Shrike,1,Aircraft Observation Marsh,US-FL,02 Oct 2017,L5740111,S39513588
423,Yellow Warbler,1,San Carlos Bay/Bunche Beach Preserve,US-FL,01 Oct 2017,L301036,S39492096
424,Black Vulture,2,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,30 Sep 2017,L6319667,S39483418
425,Common Merganser,5,Hartford Reservoir No. 6,US-CT,29 Sep 2017,L607644,S39453537
426,Clapper Rail,1,Sandy Point,US-CT,27 Sep 2017,L109233,S39417354
427,Peregrine Falcon,1,Sandy Point,US-CT,27 Sep 2017,L109233,S39417354
428,Savannah Sparrow,1,Sandy Point,US-CT,27 Sep 2017,L109233,S39417354
429,Eastern Towhee,1,Northwest Park,US-CT,25 Sep 2017,L109225,S39382177
430,Mute Swan,1,Milford Pt. (CT Audubon),US-CT,20 Sep 2017,L109216,S39297714
431,Sanderling,,Milford Pt. (CT Audubon),US-CT,20 Sep 2017,L109216,S39297714
432,Semipalmated Sandpiper,3,Milford Pt. (CT Audubon),US-CT,20 Sep 2017,L109216,S39297714
433,European Starling,1,Milford Pt. (CT Audubon),US-CT,20 Sep 2017,L109216,S39297714
434,Wood Duck,1,Westmoor Park,US-CT,18 Sep 2017,L198655,S39258807
435,Forster's Tern,,Indian Town Harbor,US-CT,16 Sep 2017,L6277322,S39234078
436,American Black Duck,5,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
437,Herring Gull,1,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
